RidgeRegression::fit,1733108133,121.7µs
R2Score::compute,1733108133,4.7µs
MSE::compute,1733108133,2µs
PCA::fit_transform,1733108133,696.2µs
KMeans::fit_predict,1733108133,10.8187ms
KMeans::fit_predict,1733108133,6.2816ms
KMeans::fit,1733108133,4.6826ms
KMeans::predict,1733108133,171.7µs
KMeans::compute_inertia,1733108133,31.1µs
StandardScaler::fit_transform,1733108133,43.2µs
RidgeRegression::fit,1733108133,151.7µs
R2Score::compute,1733108133,4.9µs
MSE::compute,1733108133,2.9µs
PCA::fit_transform,1733108133,887µs
KMeans::fit_predict,1733108133,18.998ms
KMeans::fit_predict,1733108133,19.4805ms
KMeans::fit,1733108133,16.3355ms
KMeans::predict,1733108133,531.5µs
KMeans::compute_inertia,1733108133,142.4µs
StandardScaler::fit_transform,1733108248,63.4µs
RidgeRegression::fit,1733108248,233.8µs
PCA::fit_transform,1733108248,848.7µs
KMeans::fit_predict,1733108249,5.8323ms
KMeans::fit_predict,1733108249,3.8485ms
KMeans::fit,1733108249,5.5842ms
KMeans::predict,1733108249,176.9µs
KMeans::compute_inertia,1733108249,73.8µs
StandardScaler::fit_transform,1733108249,6.3µs
RidgeRegression::fit,1733108249,31µs
R2Score::compute,1733108249,5.3µs
MSE::compute,1733108249,2.2µs
PCA::fit_transform,1733108249,99.5µs
KMeans::fit_predict,1733108249,314.2µs
KMeans::fit_predict,1733108249,489µs
KMeans::fit,1733108249,386.4µs
KMeans::predict,1733108249,12.9µs
KMeans::compute_inertia,1733108249,8.5µs
StandardScaler::fit_transform,1733108249,28.0003ms
RidgeRegression::fit,1733108249,64.94ms
R2Score::compute,1733108249,196.7µs
MSE::compute,1733108249,108.8µs
PCA::fit_transform,1733108249,419.8236ms
KMeans::fit_predict,1733108249,3.9920246s
KMeans::fit_predict,1733108253,6.5790123s
KMeans::fit,1733108260,5.1300032s
KMeans::predict,1733108265,58.2246ms
KMeans::compute_inertia,1733108265,5.4601ms
StandardScaler::fit_transform,1733108265,29.6µs
RidgeRegression::fit,1733108265,142.9µs
R2Score::compute,1733108265,4.9µs
MSE::compute,1733108265,2.7µs
PCA::fit_transform,1733108265,761.6µs
KMeans::fit_predict,1733108265,4.759ms
KMeans::fit_predict,1733108265,4.3008ms
KMeans::fit,1733108265,5.0764ms
KMeans::predict,1733108265,200.2µs
KMeans::compute_inertia,1733108265,51.9µs
StandardScaler::fit_transform,1733108265,39.3µs
RidgeRegression::fit,1733108265,145.9µs
R2Score::compute,1733108265,5µs
MSE::compute,1733108265,10.8µs
PCA::fit_transform,1733108265,892.3µs
KMeans::fit_predict,1733108265,19.2024ms
KMeans::fit_predict,1733108265,15.0731ms
KMeans::fit,1733108265,13.3573ms
KMeans::predict,1733108265,376.6µs
KMeans::compute_inertia,1733108265,70.8µs
StandardScaler::fit_transform,1733108289,63.3µs
RidgeRegression::fit,1733108289,245.1µs
PCA::fit_transform,1733108289,780.8µs
KMeans::fit_predict,1733108290,5.4542ms
KMeans::fit_predict,1733108290,3.7606ms
KMeans::fit,1733108290,4.7303ms
KMeans::predict,1733108290,197.3µs
KMeans::compute_inertia,1733108290,74.2µs
StandardScaler::fit_transform,1733108290,5.9µs
RidgeRegression::fit,1733108290,32µs
R2Score::compute,1733108290,5.2µs
MSE::compute,1733108290,2.4µs
PCA::fit_transform,1733108290,75.3µs
KMeans::fit_predict,1733108290,366.2µs
KMeans::fit_predict,1733108290,423.5µs
KMeans::fit,1733108290,334.9µs
KMeans::predict,1733108290,9.1µs
KMeans::compute_inertia,1733108290,6.2µs
StandardScaler::fit_transform,1733108290,33.0813ms
RidgeRegression::fit,1733108290,58.5295ms
R2Score::compute,1733108290,195.4µs
MSE::compute,1733108290,91.1µs
PCA::fit_transform,1733108290,386.1246ms
KMeans::fit_predict,1733108290,4.4586128s
KMeans::fit_predict,1733108295,7.0005211s
KMeans::fit,1733108302,3.7787082s
KMeans::predict,1733108305,110.6678ms
KMeans::compute_inertia,1733108306,10.2123ms
StandardScaler::fit_transform,1733108306,149.1µs
RidgeRegression::fit,1733108306,211.2µs
R2Score::compute,1733108306,10.2µs
MSE::compute,1733108306,3.9µs
PCA::fit_transform,1733108306,950µs
KMeans::fit_predict,1733108306,9.9903ms
KMeans::fit_predict,1733108306,6.2607ms
KMeans::fit,1733108306,8.1646ms
KMeans::predict,1733108306,181.9µs
KMeans::compute_inertia,1733108306,98.3µs
StandardScaler::fit_transform,1733108306,32.6µs
RidgeRegression::fit,1733108306,149.6µs
R2Score::compute,1733108306,5.5µs
MSE::compute,1733108306,2.3µs
PCA::fit_transform,1733108306,1.6659ms
KMeans::fit_predict,1733108306,12.9901ms
KMeans::fit_predict,1733108306,12.4381ms
KMeans::fit,1733108306,11.2019ms
KMeans::predict,1733108306,373.4µs
KMeans::compute_inertia,1733108306,89.7µs
StandardScaler::fit_transform,1733108447,98.6µs
RidgeRegression::fit,1733108447,432.2µs
PCA::fit_transform,1733108447,1.6448ms
KMeans::fit_predict,1733108447,5.7935ms
KMeans::fit_predict,1733108447,4.3ms
KMeans::fit,1733108447,4.9663ms
KMeans::predict,1733108447,111.8µs
KMeans::compute_inertia,1733108447,87.3µs
StandardScaler::fit_transform,1733108447,8.2µs
RidgeRegression::fit,1733108447,36.6µs
R2Score::compute,1733108447,4.5µs
MSE::compute,1733108447,2.3µs
PCA::fit_transform,1733108447,60.7µs
KMeans::fit_predict,1733108447,481.1µs
KMeans::fit_predict,1733108447,698µs
KMeans::fit,1733108447,227.2µs
KMeans::predict,1733108447,14.9µs
KMeans::compute_inertia,1733108447,9.7µs
StandardScaler::fit_transform,1733108447,21.2799ms
RidgeRegression::fit,1733108447,58.294ms
R2Score::compute,1733108447,230.3µs
MSE::compute,1733108447,124µs
PCA::fit_transform,1733108447,401.4327ms
KMeans::fit_predict,1733108448,5.220191s
KMeans::fit_predict,1733108453,8.3544163s
KMeans::fit,1733108461,5.3242562s
KMeans::predict,1733108466,81.3817ms
KMeans::compute_inertia,1733108467,7.0036ms
StandardScaler::fit_transform,1733108467,41.3µs
RidgeRegression::fit,1733108467,178.8µs
R2Score::compute,1733108467,6µs
MSE::compute,1733108467,3.7µs
PCA::fit_transform,1733108467,948.2µs
KMeans::fit_predict,1733108467,6.1209ms
KMeans::fit_predict,1733108467,7.5668ms
KMeans::fit,1733108467,10.1568ms
KMeans::predict,1733108467,102.4µs
KMeans::compute_inertia,1733108467,31µs
StandardScaler::fit_transform,1733108467,28.6µs
RidgeRegression::fit,1733108467,164.3µs
R2Score::compute,1733108467,5.1µs
MSE::compute,1733108467,2.8µs
PCA::fit_transform,1733108467,1.4789ms
KMeans::fit_predict,1733108467,24.4574ms
KMeans::fit_predict,1733108467,19.8945ms
KMeans::fit,1733108467,20.6936ms
KMeans::predict,1733108467,279.1µs
KMeans::compute_inertia,1733108467,88.7µs
StandardScaler::fit_transform,1733108617,66µs
RidgeRegression::fit,1733108617,258.4µs
PCA::fit_transform,1733108617,821.2µs
KMeans::fit_predict,1733108617,9.0071ms
KMeans::fit_predict,1733108617,6.8203ms
KMeans::fit,1733108617,13.8094ms
KMeans::predict,1733108617,201.7µs
KMeans::compute_inertia,1733108617,62.7µs
StandardScaler::fit_transform,1733108617,30µs
RidgeRegression::fit,1733108617,55.8µs
R2Score::compute,1733108617,7.7µs
MSE::compute,1733108617,3.5µs
PCA::fit_transform,1733108617,87.6µs
KMeans::fit_predict,1733108617,430.4µs
KMeans::fit_predict,1733108617,507.1µs
KMeans::fit,1733108617,416.5µs
